Bairro,Preço m²
Alpes,3193.52
Coliseu,3575.36
Shangri-lá,3709.69
Vila Nova,3993.25
Vila Casoni,2884.95
Centro,5051.11
Vila Brasil,5389.57
Petrópolis,6122.93
Quebec,4100.01
Interlagos,2809.31
Fraternidade,1630.59
Ideal,4293.72
Bandeirantes,4458.49
Antares,4157.16
Vila Siam,7465.93
Califórnia,3577.56
Bela Suiça,11984.28
Guanabara,12638.25
Leonor,3284.17
Ouro Verde,3077.47
Heimtal,4520.71
Cinco Conjuntos,2146.51
Lindóia,3138.87
Cafezal,3434.54
Carnascialli,2210.01
Milton Gavetti,3428.57
Vivendas do Arvoredo,12834.69
São Lourenço,2476.84
Olímpico,5478.61
Aeroporto,3930.27
Perobinha,2399.19
Vila Recreio,2554.87
Ipiranga,4703.75
Nova Esperança,2493.62
Higienópolis,5336.26
Presidente,5936.01
Parque das Indústrias Leves,3827.94
Pioneiros,4860.29
Cilo 2,
Tókio,3480.63
Abussafe,4006.48
Ernani,3065.39
Piza,3871.96
Inglaterra,
Tucanos,4945.87
Vista Bela,
Cilo 3,
Cidade Industrial 1,
Parigot,2726.28
Primavera,2417.22
Palhano 1,10441.48
Palhano 2,10441.48
Sabará,3567.53
Novo Amparo,1725.08
Alto Primavera,
São Miguel,
Jamile Dequech,2113.22
União da Vitória,2079.33
Industrial 4,
Columbia,3971.44
Maria Celina,3136.45
Royal,17826.83
Paris,2385.77
Terra Nova,3513.51
Vivi Xavier,2468.24
São Jorge,11092.92
