Bairro,Numero de quartos,Metros quadrados,Vagas de Garagem,Numero de Banheiros,Preço
"Londrina, Vale dos Tucanos",2,45m²,1,1,R$ 190.000
"Londrina, Guanabara Parque Boulevard",3,89m²,2,2,R$ 250.000
"Londrina, Jardim Santa Cruz",2,58m²,1,1,R$ 127.200
"Londrina, Jardim Palmas",3,126m²,2,1,R$ 235.000
"Apucarana, Loteamento Sanches dos Santos",1,50m²,1,1,R$ 120.000
"Londrina, Nossa Senhora de Lourdes",2,55m²,1,1,R$ 199.010
"Londrina, Paraíso",2,50m²,1,1,R$ 144.320
"Londrina, Parque Jamaica",3,70m²,1,1,R$ 209.560
"Londrina, Vila Filipin",2,47m²,1,1,R$ 179.360
"Londrina, Jardim Morumbi",2,56m²,1,2,R$ 218.820
"Londrina, Carnascialli",4,200m²,3,3,R$ 249.180
"Londrina, Jardim São Paulo II",3,63m²,1,2,R$ 224.250
"Londrina, Selva",2,67m²,1,1,R$ 194.100
"Cambé, Vila Salomé",1,56m²,1,1,R$ 229.400
"Londrina, Jardim São Paulo II",2,48m²,1,1,R$ 194.211
"Londrina, Vila Filipin",2,49m²,1,2,R$ 188.800
"Londrina, Andrade",2,65m²,1,1,R$ 249.080
"Rolândia, Jardim Nobre",2,125m²,2,1,R$ 120.000
"Londrina, Cidade Industrial 2",2,40m²,1,1,R$ 176.000
"Londrina, Igapó",2,47m²,1,1,R$ 205.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,44m²,1,1,R$ 180.000
"Londrina, Jardim Novo Sabará",2,45m²,1,1,R$ 165.000
"Londrina, Heimtal",2,48m²,2,1,R$ 250.000
"Londrina, Califórnia",2,50m²,1,2,R$ 210.000
"Londrina, Tietê",3,50m²,1,1,R$ 189.000
"Londrina, Yara",2,47m²,1,1,R$ 200.000
"Londrina, Centro",3,70m²,1,1,R$ 250.000
"Londrina, Vila Filipin",2,48m²,1,1,R$ 169.000
"Londrina, Parque Industrial José Belinati",2,69m²,1,1,R$ 210.000
"Londrina, Centro",2,72m²,1,1,R$ 200.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,48m²,1,1,R$ 250.000
"Londrina, Vila Shimabokuro",1,35m²,1,1,R$ 160.000
"Londrina, Jardim Bandeirantes",2,60m²,1,1,R$ 170.000
"Londrina, Jardim Santa Cruz",2,48m²,1,1,R$ 140.000
"Londrina, Conjunto Habitacional Jesualdo Garcia Pessoa",2,100m²,1,2,R$ 140.000
"Londrina, Gleba Ribeirão Limeiro",2,52m²,1,1,R$ 215.000
"Londrina, Olímpico",2,45m²,1,1,R$ 199.000
"Cambé, Chácara Manella",2,38m²,1,1,R$ 169.000
"Cambé, Chácara Manella",2,38m²,1,1,R$ 159.000
"Londrina, Cidade Industrial 2",2,43m²,1,1,R$ 220.000
"Londrina, Centro",2,65m²,1,1,R$ 200.000
"Londrina, Parque Jamaica",3,52m²,1,1,R$ 185.000
"Londrina, Jardim Planalto",1,55m²,3,2,R$ 180.000
"Londrina, Jardim São Paulo",2,53m²,1,1,R$ 160.000
"Londrina, Jardim Jóquei Club",2,46m²,1,1,R$ 230.000
"Londrina, Conjunto Habitacional Jesualdo Garcia Pessoa",2,103m²,2,1,R$ 140.000
"Londrina, São Pedro",2,48m²,1,1,R$ 179.000
"Londrina, Santa Izabel",3,73m²,1,1,R$ 240.000
"Londrina, Jardim Honda 2",2,75m²,1,1,R$ 230.000
"Cambé, Jardim Montecatini",2,51m²,1,1,R$ 175.000
"Cambé, Jardim Ecoville I",2,44m²,1,1,R$ 160.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,43m²,1,1,R$ 200.000
"Londrina, Gleba Fazenda Palhano",2,60m²,1,2,R$ 160.000
"Londrina, São Pedro",2,53m²,1,1,R$ 169.000
"Londrina, Centro",3,136m²,1,3,R$ 250.000
"Cambé, Jardim Montecatini",2,50m²,1,1,R$ 149.000
"Cambé, Jardim Elizabeth",3,138m²,2,2,R$ 250.000
"Londrina, Jardim Maria Luiza",2,40m²,1,1,R$ 130.000
Bandeirantes,1,60m²,1,1,R$ 115.000
"Londrina, San Fernando",2,61m²,1,1,R$ 170.000
"Londrina, Brasília",3,55m²,1,1,R$ 244.000
"Londrina, Jardim Maria Luiza",2,44m²,1,1,R$ 90.746
"Arapongas, Conjunto Novo Centauro",2,50m²,2,1,R$ 220.000
"Londrina, Brasília",2,70m²,1,1,R$ 220.000
"Londrina, Brasília",3,55m²,1,1,R$ 244.000
"Londrina, Olímpico",2,45m²,1,1,R$ 199.000
"Londrina, Jardim São Paulo II",2,44m²,1,1,R$ 149.000
"Londrina, Paraíso",2,52m²,1,1,R$ 155.000
"Londrina, Paraíso",2,53m²,1,1,R$ 170.000
"Londrina, Jardim Santa Cruz",3,58m²,1,1,R$ 160.000
"Arapongas, Conjunto Del Condor",2,49m²,1,1,R$ 175.000
"Londrina, Centro",2,70m²,1,1,R$ 235.000
"Londrina, Jardim Morumbi",2,53m²,1,1,R$ 220.000
"Londrina, Conjunto Habitacional Maria Cecília Serrano de Oliveira",2,100m²,1,1,R$ 170.000
"Londrina, Jardim Maria Celina",2,45m²,1,1,R$ 210.000
"Londrina, Luiz de Sá",2,91m²,2,1,R$ 175.000
"Londrina, Jardim Jóquei Club",2,45m²,1,1,R$ 240.000
"Londrina, Gleba Fazenda Palhano",2,45m²,1,1,R$ 240.000
"Londrina, Centro",1,24m²,1,1,R$ 220.000
Ibiporã,2,59m²,1,1,R$ 210.000
"Londrina, Ideal",3,62m²,1,1,R$ 250.000
"Londrina, Jardim São Paulo II",2,44m²,1,1,R$ 220.000
"Londrina, Conjunto Habitacional Maria Cecília Serrano de Oliveira",2,100m²,1,1,R$ 170.000
"Londrina, Jardim Maria Celina",3,250m²,2,2,R$ 205.000
"Apucarana, Jardim Aeroporto",2,54m²,1,1,R$ 210.000
Centenário do Sul,3,145m²,2,2,R$ 50.000
"Cambé, Jardim Montecatini",2,48m²,1,1,R$ 175.000
"Londrina, Leonor",3,117m²,2,2,R$ 240.000
"Londrina, Vila Shimabokuro",1,36m²,1,1,R$ 160.000
"Londrina, Jardim São Jorge",2,25m²,1,1,R$ 50.000
"Londrina, Nossa Senhora de Lourdes",2,95m²,1,1,R$ 249.450
"Londrina, Paraíso",2,47m²,1,1,R$ 154.530
"Londrina, Ernani Moura Lima",2,90m²,3,1,R$ 229.590
"Londrina, Centro",1,26m²,1,1,R$ 244.040
"Londrina, São Pedro",3,60m²,1,1,R$ 239.390
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,43m²,1,1,R$ 169.130
"Londrina, Heimtal",3,52m²,1,1,R$ 199.390
"Londrina, Paraíso",2,45m²,1,1,R$ 179.750
"Londrina, Jardim Maria Luiza",2,45m²,1,1,R$ 154.530
"Londrina, Antares",3,75m²,1,1,R$ 242.040
"Londrina, Centro",3,64m²,1,2,R$ 180.000
"Arapongas, Jardim Mônaco",2,39m²,1,1,R$ 170.000
"Londrina, Olímpico",2,41m²,1,1,R$ 170.000
"Londrina, Colinas",2,44m²,1,1,R$ 65.000
"Londrina, Conjunto Professora Hilda Mandarino",3,90m²,2,2,R$ 165.000
"Cambé, Jardim Montecatini",2,47m²,1,1,R$ 185.000
"Londrina, Carnascialli",4,120m²,2,2,R$ 250.000
"Arapongas, Casa Família Arapongas IV",5+,88m²,1,1,R$ 230.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,47m²,1,1,R$ 205.000
"Londrina, Conjunto Residencial Itamaraty",3,67m²,1,1,R$ 180.000
Marilândia do Sul,1,253m²,3,2,R$ 85.000
"Londrina, Vila Shimabokuro",1,41m²,1,1,R$ 160.000
"Londrina, Heimtal",3,80m²,1,1,R$ 200.000
"Londrina, Califórnia",2,111m²,4,1,R$ 250.000
"Londrina, Conjunto Residencial Marajoara",2,45m²,1,1,R$ 120.000
"Londrina, Jardim Jóquei Club",2,42m²,1,1,R$ 150.000
"Londrina, Marumbi",2,49m²,1,1,R$ 139.000
"Londrina, Jardim Nações Unidas",2,60m²,1,1,R$ 165.000
"Londrina, Parque Jamaica",2,46m²,1,1,R$ 170.000
"Londrina, Colinas",2,44m²,1,1,R$ 215.000
"Londrina, Ouro Verde",2,45m²,1,1,R$ 210.000
"Londrina, Jardim São Paulo II",3,59m²,1,1,R$ 250.000
"Cambé, Condomínio Residencial Castelo Branco",2,45m²,1,1,R$ 210.000
"Cambé, Jardim Ana Eliza",2,43m²,1,1,R$ 120.000
"Cambé, Jardim Ana Eliza",2,45m²,1,1,R$ 120.000
"Londrina, Lagoa Dourada",1,37m²,1,1,R$ 160.000
"Londrina, Colinas",2,49m²,1,1,R$ 180.000
"Londrina, Cidade Industrial 2",2,50m²,1,1,R$ 200.000
"Londrina, Centro",1,30m²,1,1,R$ 185.000
"Londrina, Antares",3,66m²,1,2,R$ 240.000
"Londrina, Jardim Paris",2,80m²,3,1,R$ 250.000
"Londrina, Conjunto Habitacional José Garcia Molina",2,45m²,1,1,R$ 150.000
"Londrina, Tietê",2,42m²,1,1,R$ 140.000
"Londrina, Jardim Maria Celina",3,100m²,4,1,R$ 200.000
"Londrina, Paraíso",2,60m²,1,1,R$ 249.460
"Londrina, Parque Jamaica",2,45m²,1,1,R$ 179.570
"Londrina, Alto da Colina",1,26m²,1,1,R$ 124.050
"Londrina, Jardim Maria Celina",2,47m²,1,1,R$ 197.420
"Londrina, Residencial Professora Madalena Cardoso",3,63m²,1,1,R$ 209.200
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,43m²,1,1,R$ 168.000
"Londrina, Jardim Vale Azul",1,125m²,1,1,R$ 130.000
"Londrina, Cidade Industrial 2",2,43m²,1,1,R$ 210.000
"Londrina, Cidade Industrial 2",2,44m²,1,1,R$ 180.000
"Londrina, Olímpico",2,47m²,1,1,R$ 215.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,48m²,1,1,R$ 190.000
"Londrina, Jardim Aliança",2,185m²,1,1,R$ 89.000
"Londrina, Colinas",2,58m²,1,1,R$ 170.000
"Londrina, Paraíso",2,49m²,1,1,R$ 185.000
"Londrina, Olímpico",2,43m²,2,1,R$ 245.000
"Londrina, Eucaliptos",3,108m²,2,1,R$ 210.000
"Londrina, Santa Joana",3,98m²,1,1,R$ 230.000
"Londrina, Nova Olinda",2,55m²,1,1,R$ 170.000
"Londrina, Jacomo Violin",2,64m²,1,1,R$ 230.000
"Arapongas, Jardim San Rafael II",2,200m²,1,1,R$ 180.000
"Londrina, Jardim Morumbi",2,43m²,1,1,R$ 185.000
"Londrina, Residencial Santa Clara",2,50m²,1,1,R$ 100.000
"Londrina, Conjunto Residencial Marajoara",2,46m²,1,1,R$ 160.000
"Londrina, Centro",1,49m²,1,1,R$ 210.000
"Apucarana, Jardim Residencial Franca",2,57m²,1,1,R$ 160.000
"Cambé, Centro",2,12m²,1,1,R$ 205.000
"Cambé, Vila Atalaia",2,42m²,1,1,R$ 199.000
"Londrina, Vila Shimabokuro",1,41m²,1,1,R$ 160.000
"Cambé, Jardim Silvino",2,80m²,2,2,R$ 250.000
"Londrina, Jardim Vilas Boas",2,50m²,1,1,R$ 160.000
"Londrina, Califórnia",3,55m²,1,1,R$ 160.000
"Londrina, Perobinha",2,49m²,1,1,R$ 150.000
"Londrina, Esperança",2,43m²,1,1,R$ 230.000
"Londrina, Vale dos Tucanos",3,70m²,1,1,R$ 190.000
"Londrina, Centro",1,58m²,1,2,R$ 250.000
"Londrina, Cidade Industrial 2",2,70m²,1,1,R$ 240.000
"Londrina, Nossa Senhora de Lourdes",2,52m²,1,1,R$ 250.000
"Londrina, Nova Olinda",2,47m²,1,1,R$ 119.000
"Cambé, Vila Atalaia",2,47m²,1,1,R$ 199.000
"Londrina, Antares",3,56m²,1,1,R$ 235.000
"Londrina, Alto da Colina",2,50m²,1,1,R$ 185.000
"Londrina, Gleba Fazenda Palhano",2,40m²,1,1,R$ 132.178
Ibiporã,2,75m²,1,1,R$ 240.000
"Apucarana, Núcleo Habitacional Colonial",3,104m²,2,2,R$ 60.000
"Cambé, Centro",1,51m²,1,1,R$ 119.673
"Arapongas, Jardim Santo Antônio",2,50m²,1,1,R$ 190.000
"Cambé, Centro",2,42m²,1,1,R$ 199.000
"Londrina, Colinas",2,45m²,1,1,R$ 215.000
"Londrina, Parque Jamaica",3,54m²,1,1,R$ 180.000
"Londrina, Vila Larsen 1",3,81m²,1,2,R$ 250.000
"Londrina, Olímpico",2,47m²,1,1,R$ 200.000
"Londrina, Jardim Pioneiros",3,57m²,1,1,R$ 230.000
"Londrina, Amaro",3,67m²,1,2,R$ 250.000
"Londrina, Conjunto Habitacional José Garcia Molina",2,45m²,1,1,R$ 130.000
"Londrina, Paraíso",2,41m²,1,1,R$ 155.000
Ibiporã,2,45m²,1,1,R$ 190.000
"Londrina, Paraíso",2,51m²,1,1,R$ 197.000
"Londrina, Conjunto Residencial Marajoara",2,45m²,1,1,R$ 165.000
"Cambé, Centro",1,51m²,1,1,R$ 119.673
"Cambé, Centro",1,51m²,1,1,R$ 119.673
"Londrina, Gleba Fazenda Palhano",2,46m²,1,1,R$ 250.000
"Londrina, Ouro Verde",2,45m²,1,1,R$ 185.000
"Londrina, Gleba Fazenda Palhano",2,45m²,1,1,R$ 250.000
"Londrina, Taliana",2,50m²,1,1,R$ 170.000
"Londrina, Jardim Maria Celina",2,48m²,1,1,R$ 75.000
"Londrina, Leonor",1,45m²,1,1,R$ 199.200
"Londrina, San Fernando",2,55m²,1,1,R$ 148.110
"Londrina, Ernani Moura Lima",2,45m²,1,1,R$ 189.770
"Londrina, Gleba Ribeirão Limeiro",2,44m²,1,1,R$ 234.570
"Londrina, Jardim Maria Luiza",2,45m²,1,1,R$ 201.390
"Londrina, Colinas",2,90m²,2,1,R$ 220.000
"Londrina, Conjunto Habitacional Doutor Farid Libos",2,43m²,1,1,R$ 210.000
"Londrina, Gleba Fazenda Palhano",2,43m²,1,1,R$ 180.000
"Londrina, Heimtal",2,45m²,1,1,R$ 185.000
"Londrina, San Fernando",3,59m²,1,1,R$ 170.000
"Londrina, Centro",2,50m²,1,1,R$ 129.900
"Londrina, Jardim Colúmbia D",2,45m²,2,1,R$ 220.000
"Londrina, Parque Jamaica",3,70m²,1,2,R$ 130.000
"Londrina, Colúmbia",2,600m²,2,1,R$ 160.000
"Londrina, São Pedro",1,36m²,1,1,R$ 180.000
Ibiporã,3,158m²,1,1,R$ 106.667
"Londrina, Jardim Jóquei Club",2,48m²,1,1,R$ 149.999
"Londrina, Vila Casoni",2,55m²,1,1,R$ 230.000
"Londrina, Vale dos Tucanos",3,64m²,1,1,R$ 200.000
"Apucarana, Núcleo Habitacional Papa João Paulo I",2,40m²,1,1,R$ 199.000
"Londrina, Vila Shimabokuro",1,41m²,1,1,R$ 160.000
"Londrina, Centro",1,40m²,1,1,R$ 180.000
"Londrina, Jardim União da Vitória",2,80m²,2,2,R$ 210.000
"Londrina, Jacomo Violin",1,60m²,1,1,R$ 220.000
"Apucarana, Jardim Diamantina",4,120m²,3,2,R$ 185.000
"Cambé, Jardim Ana Eliza",2,45m²,1,1,R$ 92.444
"Londrina, Jardim Barcelona",3,60m²,1,1,R$ 195.000
Alvorada do Sul,3,115m²,2,2,R$ 129.000
"Cambé, Jardim Ana Eliza",2,45m²,1,1,R$ 92.444
"Londrina, Jardim Nações Unidas",2,47m²,1,1,R$ 195.000
"Londrina, Jardim Jóquei Club",1,35m²,1,1,R$ 181.000
"Cambé, Chácara Manella",2,43m²,1,1,R$ 205.000
"Londrina, Paraíso",2,47m²,1,1,R$ 170.000
"Londrina, Paraíso",2,47m²,1,1,R$ 170.000
"Londrina, Jardim Jóquei Club",2,47m²,1,1,R$ 245.000
"Londrina, Jardim Jóquei Club",1,35m²,1,1,R$ 181.000
"Londrina, Jardim das Américas",2,44m²,1,1,R$ 160.000
"Londrina, Gleba Ribeirão Limeiro",2,47m²,1,1,R$ 235.000
"Londrina, Heimtal",3,80m²,1,2,R$ 230.000
Ibiporã,2,81m²,2,1,R$ 240.000
"Londrina, Jardim Jóquei Club",2,47m²,1,1,R$ 245.000
"Cambé, Jardim Terra Nova",2,70m²,1,1,R$ 240.000
"Londrina, Parque Jamaica",2,41m²,1,1,R$ 155.000
"Londrina, Conjunto Habitacional Jamile Dequech",2,105m²,1,1,R$ 230.000
"Londrina, Jardim Tropical",2,80m²,1,1,R$ 230.000
"Cambé, Chácara Manella",2,38m²,1,1,R$ 169.000
"Londrina, Centro",3,110m²,1,2,R$ 250.000
"Cambé, Jardim Santo Amaro",2,44m²,1,1,R$ 220.000
"Londrina, Vale dos Tucanos",2,44m²,1,1,R$ 199.700
"Londrina, Centro",1,43m²,1,1,R$ 220.000
"Londrina, Cidade Industrial 2",2,48m²,1,1,R$ 220.000
"Londrina, Cidade Industrial 2",2,41m²,1,1,R$ 210.000
"Londrina, Antares",3,65m²,1,1,R$ 235.000
"Londrina, Gleba Ribeirão Limeiro",2,43m²,1,1,R$ 208.000
"Londrina, Cidade Industrial 2",2,47m²,1,1,R$ 197.000
"Londrina, Centro",2,54m²,1,1,R$ 240.000
"Londrina, Sabará III",2,60m²,1,1,R$ 200.000
"Londrina, Vale dos Tucanos",3,64m²,1,1,R$ 180.000
"Londrina, Conjunto Habitacional José Garcia Molina",2,45m²,1,1,R$ 150.000
