Bairro,Numero de quartos,Metros quadrados,Vagas de Garagem,Numero de Banheiros,Preço
Antares,5,140,3,3,440000
Jardim Lolata,3,81,1,1,220000
Santa Mônica,3,122,2,3,500000
Jardim América,3,320,5,2,600000
Jardim do Lago,3,217,2,5,1670000
Santa Rosa,2,69,1,2,600000
Jardim Império do Sol,1,144,2,3,511000
Colinas,2,54,1,1,235000
Jardim São Jorge,4,723,4,5,6000000
Conjunto Residencial Vivendas do Arvoredo,4,220,4,4,1400000
Centro,3,160,1,3,400000
Maria Lúcia,4,125,5,2,350000
Operária,4,265,4,1,1490000
Jardim Nova Esperança,2,100,2,1,220000
Gleba Fazenda Palhano,2,82,2,2,790000
Gleba Fazenda Palhano,3,81,2,2,760000
Brasília,3,67,2,2,370000
Dom Pedro,3,140,4,3,1280000
Centro,4,487,3,5,1600000
Centro,3,94,1,3,390000
Conjunto Habitacional Saltinho,2,115,1,1,210000
Jardim Honda 2,3,68,1,2,245000
Centro,3,189,1,3,750000
Residencial Professora Madalena Cardoso,3,63,1,1,209200
Jardim Moema,3,90,2,2,190000
Jardim Shangri-la A,3,211,1,4,1200000
Bela Suiça,4,419,4,5,4250000
Centro,1,50,1,1,185000
Cidade Industrial 2,2,40,1,1,170000
Gleba Fazenda Palhano,3,99,1,3,920000
Gleba Fazenda Palhano,3,64,1,2,499000
Jardim Santa Cruz,2,50,1,1,130000
Terra Bonita,2,61,1,2,529900
Ricardo,4,290,4,4,680000
Heimtal,2,48,2,2,160000
Gleba Ribeirão Limeiro,2,44,1,1,249000
Jardim São Jorge,3,119,2,4,1470000
Parque Jamaica,1,60,1,1,480000
Gleba Fazenda Palhano,3,173,2,5,1790000
Centro,2,112,1,2,600000
Brasília,2,45,1,1,207000
Colúmbia,3,100,1,1,510000
Tucano,5,747,5,5,4500000
Vale dos Tucanos,2,49,1,1,230000
Jardim Novo Sabará,3,83,2,2,370000
Gleba Fazenda Palhano,3,236,4,2,2500000
Brasília,2,89,2,2,850000
Esperança,3,242,3,4,2650000
Gleba Fazenda Palhano,2,82,2,2,795000
Jardim Presidente,2,143,1,2,290000
Conjunto Habitacional Alexandre Urbanas,5,110,2,2,1500000
Campo Belo,2,244,1,2,600000
Centro,3,87,1,3,385000
Nova Olinda,2,54,1,1,185000
Parque Leblon,4,130,4,2,350000
Santa Rosa,2,70,2,2,669000
Esperança,3,310,4,5,3500000
San Fernando,2,52,1,1,160000
